,Scientific Name,Year,Month,Latitude,Longitude,Country,Basis of Record,Dataset
0,Micropterus salmoides,2024,1,25.431114,-80.774597,United States of America,HUMAN_OBSERVATION,50c9509d-22c7-4a22-a47d-8c48425ef4a7
1,Micropterus salmoides,2024,1,26.677229,-80.427843,United States of America,HUMAN_OBSERVATION,50c9509d-22c7-4a22-a47d-8c48425ef4a7
2,Micropterus salmoides,2024,1,25.441253,-80.783403,United States of America,HUMAN_OBSERVATION,50c9509d-22c7-4a22-a47d-8c48425ef4a7
3,Micropterus salmoides,2024,1,25.441417,-80.783697,United States of America,HUMAN_OBSERVATION,50c9509d-22c7-4a22-a47d-8c48425ef4a7
4,Micropterus salmoides,2024,1,25.441522,-80.783608,United States of America,HUMAN_OBSERVATION,50c9509d-22c7-4a22-a47d-8c48425ef4a7
5,Micropterus salmoides,2024,1,25.395463,-80.582808,United States of America,HUMAN_OBSERVATION,50c9509d-22c7-4a22-a47d-8c48425ef4a7
6,Micropterus salmoides,2024,1,28.371769,-81.547818,United States of America,HUMAN_OBSERVATION,50c9509d-22c7-4a22-a47d-8c48425ef4a7
7,Micropterus salmoides,2024,1,25.382856,-80.605633,United States of America,HUMAN_OBSERVATION,50c9509d-22c7-4a22-a47d-8c48425ef4a7
8,Micropterus salmoides,2024,1,28.154,-81.477662,United States of America,HUMAN_OBSERVATION,50c9509d-22c7-4a22-a47d-8c48425ef4a7
9,Micropterus salmoides,2024,1,36.029395,-78.725751,United States of America,HUMAN_OBSERVATION,50c9509d-22c7-4a22-a47d-8c48425ef4a7
10,Micropterus salmoides,2024,1,26.294432,-80.228298,United States of America,HUMAN_OBSERVATION,50c9509d-22c7-4a22-a47d-8c48425ef4a7
11,Micropterus salmoides,2024,1,36.160742,-78.892409,United States of America,HUMAN_OBSERVATION,50c9509d-22c7-4a22-a47d-8c48425ef4a7
12,Micropterus salmoides,2024,1,26.32945,-80.128464,United States of America,HUMAN_OBSERVATION,50c9509d-22c7-4a22-a47d-8c48425ef4a7
13,Micropterus salmoides,2024,1,34.261087,-78.52376,United States of America,HUMAN_OBSERVATION,50c9509d-22c7-4a22-a47d-8c48425ef4a7
14,Micropterus salmoides,2024,1,33.890908,-78.596816,United States of America,HUMAN_OBSERVATION,50c9509d-22c7-4a22-a47d-8c48425ef4a7
15,Micropterus salmoides,2024,1,35.847872,-78.641781,United States of America,HUMAN_OBSERVATION,50c9509d-22c7-4a22-a47d-8c48425ef4a7
16,Micropterus salmoides,2024,2,25.425072,-80.802413,United States of America,HUMAN_OBSERVATION,50c9509d-22c7-4a22-a47d-8c48425ef4a7
17,Micropterus salmoides,2024,2,25.382488,-80.609437,United States of America,HUMAN_OBSERVATION,50c9509d-22c7-4a22-a47d-8c48425ef4a7
18,Micropterus salmoides,2024,2,25.423926,-80.845184,United States of America,HUMAN_OBSERVATION,50c9509d-22c7-4a22-a47d-8c48425ef4a7
19,Micropterus salmoides,2024,2,26.354612,-80.29753,United States of America,HUMAN_OBSERVATION,50c9509d-22c7-4a22-a47d-8c48425ef4a7
20,Micropterus salmoides,2024,2,26.215566,-80.178643,United States of America,HUMAN_OBSERVATION,50c9509d-22c7-4a22-a47d-8c48425ef4a7
21,Micropterus salmoides,2024,2,25.986572,-81.262292,United States of America,HUMAN_OBSERVATION,50c9509d-22c7-4a22-a47d-8c48425ef4a7
22,Micropterus salmoides,2024,2,25.391011,-80.799377,United States of America,HUMAN_OBSERVATION,50c9509d-22c7-4a22-a47d-8c48425ef4a7
23,Micropterus salmoides,2024,2,25.391004,-80.799371,United States of America,HUMAN_OBSERVATION,50c9509d-22c7-4a22-a47d-8c48425ef4a7
